Level,Word,Headword,Headword_flag,POS
1,hungry,hungry,1,adjective
1,hunger,hungry,0,noun/verb
1,hungered,hungry,0,verb
1,hungering,hungry,0,verb
1,hungers,hungry,0,noun/verb
1,hungrier,hungry,0,adjective
1,hungriest,hungry,0,adjective
1,hungrily,hungry,0,adverb
1,stuff,stuff,1,noun/verb
1,thirst,thirst,1,noun/verb
1,thirsted,thirst,0,verb
1,thirstier,thirst,0,adjective
1,thirstiest,thirst,0,adjective
1,thirstily,thirst,0,adverb
1,thirstiness,thirst,0,noun
1,thirsting,thirst,0,verb
1,thirsts,thirst,0,noun/verb
1,thirsty,thirst,0,adjective
1,a,a,1,determiner
1,an,a,0,determiner
1,able,able,1,adjective
1,abilities,able,0,noun
1,ability,able,0,noun
1,abler,able,0,adjective
1,ablest,able,0,adjective
1,ably,able,0,adverb
1,inability,able,0,noun
1,unable,able,0,adjective
1,about,about,1,preposition
1,above,above,1,preposition
1,absolute,absolute,1,noun/adjective
1,absolutely,absolute,0,adverb
1,absolutes,absolute,0,noun
1,absolutism,absolute,0,noun
1,absolutist,absolute,0,noun/adjective
1,absolutists,absolute,0,noun
1,accept,accept,1,verb
1,acceptability,accept,0,noun
1,acceptable,accept,0,adjective
1,acceptably,accept,0,adverb
1,acceptance,accept,0,noun
1,acceptances,accept,0,noun
1,accepted,accept,0,verb/adjective
1,accepting,accept,0,verb/adjective
1,acceptor,accept,0,noun
1,acceptors,accept,0,noun
1,accepts,accept,0,verb
1,unacceptability,accept,0,noun
1,unacceptable,accept,0,adjective
1,unacceptably,accept,0,adverb
1,across,across,1,preposition
1,act,act,1,noun/verb
1,acted,act,0,verb
1,acting,act,0,noun/verb/adjective
1,action,act,0,noun/verb
1,actionable,act,0,adjective
1,actioned,act,0,verb
1,actioning,act,0,verb
1,actions,act,0,noun/verb
1,actor,act,0,noun
1,actors,act,0,noun
1,actress,act,0,noun
1,actresses,act,0,noun
1,acts,act,0,noun/verb
1,inaction,act,0,noun
1,unactioned,act,0,adjective
1,actual,actual,1,adjective
1,actualisation,actual,0,noun
1,actualisations,actual,0,noun
1,actualise,actual,0,verb
1,actualised,actual,0,verb
1,actualises,actual,0,verb
1,actualising,actual,0,verb
1,actualities,actual,0,noun
1,actuality,actual,0,noun
1,actualization,actual,0,noun
1,actualizations,actual,0,noun
1,actualize,actual,0,verb
1,actualized,actual,0,verb
1,actualizes,actual,0,verb
1,actualizing,actual,0,verb
1,actually,actual,0,adverb
1,add,add,1,noun/verb
1,added,add,0,verb
1,adding,add,0,verb
1,addition,add,0,noun
1,additional,add,0,adjective
1,additionality,add,0,noun
1,additionally,add,0,adverb
1,additions,add,0,noun
1,additive,add,0,noun/adjective
1,additives,add,0,noun
1,adds,add,0,noun/verb
1,address,address,1,noun/verb
1,addressed,address,0,verb/adjective
1,addressee,address,0,noun
1,addressees,address,0,noun
1,addresses,address,0,noun/verb
1,addressing,address,0,verb
1,admit,admit,1,verb
1,admits,admit,0,verb
1,admittance,admit,0,noun
1,admittances,admit,0,noun
1,admitted,admit,0,verb
1,admittedly,admit,0,adverb
1,admitting,admit,0,verb
1,readmit,admit,0,verb
1,readmits,admit,0,verb
1,readmittance,admit,0,noun
1,readmitted,admit,0,adjective
1,readmitting,admit,0,verb
1,advertise,advertise,1,verb
1,ad,advertise,0,noun/adverb
1,ads,advertise,0,noun
1,advert,advertise,0,noun/verb
1,advertised,advertise,0,verb/adjective
1,advertisement,advertise,0,noun
1,advertisements,advertise,0,noun
1,advertiser,advertise,0,noun
1,advertisers,advertise,0,noun
1,advertises,advertise,0,verb
1,advertising,advertise,0,noun/verb
1,advertize,advertise,0,verb
1,advertized,advertise,0,verb
1,advertizement,advertise,0,noun
1,advertizements,advertise,0,noun
1,advertizer,advertise,0,noun
1,advertizers,advertise,0,noun
1,advertizes,advertise,0,verb
1,advertizing,advertise,0,noun/verb
1,adverts,advertise,0,noun/verb
1,afford,afford,1,verb
1,affordability,afford,0,noun
1,affordable,afford,0,adjective
1,afforded,afford,0,verb
1,affording,afford,0,verb
1,affords,afford,0,verb
1,unaffordable,afford,0,adjective
1,afraid,afraid,1,adjective
1,unafraid,afraid,0,adjective
1,after,after,1,preposition
1,afterward,after,0,adverb
1,afterwards,after,0,adverb
1,afternoon,afternoon,1,noun
1,afternoons,afternoon,0,noun
1,midafternoon,afternoon,0,noun
1,again,again,1,adverb
1,against,against,1,preposition
1,age,age,1,noun/verb
1,aged,age,0,noun/verb/adjective
1,ageing,age,0,noun/verb/adjective
1,ageism,age,0,noun
1,ageist,age,0,noun
1,ageists,age,0,noun/verb
1,ageless,age,0,adjective
1,ager,age,0,noun/verb
1,agers,age,0,noun/verb
1,ages,age,0,noun/verb
1,aging,age,0,noun/verb/adjective
1,underage,age,0,adjective
1,ago,ago,1,adverb
1,agree,agree,1,verb
1,agreeable,agree,0,adjective
1,agreeably,agree,0,adverb
1,agreed,agree,0,verb/adjective
1,agreeing,agree,0,verb
1,agreement,agree,0,noun
1,agreements,agree,0,noun
1,agrees,agree,0,verb
1,ahead,ahead,1,adverb
1,air,air,1,noun/verb
1,aired,air,0,verb/adjective
1,airier,air,0,adjective
1,airiest,air,0,adjective
1,airily,air,0,adverb
1,airiness,air,0,noun
1,airing,air,0,noun/verb
1,airings,air,0,noun
1,airless,air,0,adjective
1,airs,air,0,noun/verb
1,airy,air,0,adjective
1,midair,air,0,noun
1,all,all,1,determiner
1,allow,allow,1,verb
1,allowable,allow,0,adjective
1,allowance,allow,0,noun/verb
1,allowances,allow,0,noun/verb
1,allowed,allow,0,verb
1,allowing,allow,0,verb
1,allows,allow,0,verb
1,almost,almost,1,adverb
1,alone,alone,1,adverb
1,along,along,1,preposition
1,already,already,1,adverb
1,alright,alright,1,adverb
1,alrighty,alright,0,adverb
1,also,also,1,adverb
1,although,although,1,conjunction
1,always,always,1,adverb
1,allus,always,0,adverb
1,among,among,1,preposition
1,amongst,among,0,preposition
1,amount,amount,1,noun/verb
1,amounted,amount,0,verb
1,amounting,amount,0,verb
1,amounts,amount,0,noun/verb
1,and,and,1,conjunction
1,ands,and,0,conjunction
1,angry,angry,1,adjective
1,angrier,angry,0,adjective
1,angriest,angry,0,adjective
1,angrily,angry,0,adverb
1,angriness,angry,0,noun
1,animal,animal,1,noun/adjective
1,animals,animal,0,noun
1,another,another,1,adjective
1,answer,answer,1,noun/verb
1,answerable,answer,0,adjective
1,answered,answer,0,verb
1,answering,answer,0,verb/adjective
1,answers,answer,0,noun/verb
1,unanswerable,answer,0,adjective
